история AMD,5,5,3,4,3
USB-накопитель,5,5,5,5,3
агенство Эврика,5,5,3,3,3
алгоритм Витерби,5,5,4,5,5
преимущества метаанализа,5,4,4,4,4
стандарт Stereo 3,5,3,3,3
Домашний каталог,5,5,5,5,5
функция MD5,5,5,5,5,5
барабан и жесткий диск,5,5,4,5,5
электронное удостоверение личности,5,5,4,5,2
Технологическая школа IBM в России,5,4,5,5,5
Когда появились карманные часы,5,5,4,4,4
булевая алгебра,5,5,5,5,5
измерительные механизмы,5,5,5,5,5
Калькулятор МК 56,5,5,3,4,4
катоды косвенного накала,5,5,5,5,5
смартфон Palm Treo,5,4,5,4,4
формат wmv,5,4,5,3,4
инструмент цистра,5,4,4,5,4
типографское клише,5,5,5,5,5
чем наполнен Шарльер,5,5,4,5,5
вертолет Як,5,5,3,5,5
влияет ли ЭМИ на людей,5,5,5,5,4
чем является процесс с независимыми приращениями,5,4,4,2,2
примеры профессиональных стандартов,5,5,4,4,4
процесс cквозного шифрования,4,5,4,5,4
список маломассивных звезд,5,5,5,5,5
что такое тезарус,5,5,4,4,5
что символизируют три обезьяны,5,5,2,2,2
примеры трилогии,5,5,5,4,5