история AMD,4,3,3,2,3
USB-накопитель,5,5,5,5,3
агенство Эврика,5,5,3,3,3
алгоритм Витерби,5,5,5,5,5
преимущества метаанализа,4,2,4,2,2
стандарт Stereo,5,3,3,3,3
Домашний каталог,5,5,5,5,5
функция MD5,5,5,5,5,4
барабан и жесткий диск,5,3,4,2,3
электронное удостоверение личности,5,5,4,4,4
Технологическая школа IBM в России,5,5,5,3,3
Когда появились карманные часы,4,5,5,4,4
булевая алгебра,5,5,4,5,5
измерительные механизмы,5,5,5,3,3
Калькулятор МК 56,5,5,4,3,4
катоды косвенного накала,5,5,5,5,4
смартфон Palm Treo,5,4,4,5,4
формат wmv,5,5,4,3,5
инструмент цистра,5,2,2,5,5
типографское клише,5,3,5,5,5
чем наполнен Шарльер,5,5,5,4,5
вертолет Як,5,5,5,5,5
влияет ли ЭМИ на людей,5,5,5,5,3
чем является процесс с независимыми приращениями,5,5,5,5,5
примеры профессиональных стандартов,5,4,4,4,4
процесс cквозного шифрования,5,5,3,3,3
список маломассивных звезд,5,3,3,3,3
что такое тезаурус,5,5,5,5,5
что символизируют три обезьяны,5,3,3,5,2
примеры трилогии,5,3,3,3,3